# boot Thu 10 Sep 14:09:18 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.79 0 0 0
21.06 0 0 0
22.07 0 0 0
23.08 0 0 0
24.09 0 0 0
25.10 0 0 0
26.10 0 0 0
27.11 12 6 199
28.11 0 0 0
29.12 16 8 264
30.13 29 12 17143
31.16 51 26 30172
32.17 52 25 33029
33.17 76 41 43740
34.18 68 34 44428
35.20 51 26 33885
36.21 85 42 52679
37.22 69 34 39828
38.23 67 35 39264
39.24 70 32 41640
40.24 69 34 40578
41.25 68 34 44639
42.26 51 26 31173
43.26 51 25 33129
44.27 66 36 42318
45.28 68 34 44452
46.28 52 25 34592
47.29 68 34 42559
48.30 84 43 48428
49.30 70 33 41050
50.31 83 44 49516
51.32 68 34 41226
52.33 86 42 52632
53.33 69 34 42228
54.34 53 24 32016
55.34 66 36 39879
56.35 53 24 33967
57.35 68 34 41308
58.36 50 26 31360
59.37 49 27 32396
60.37 69 34 42933
61.38 68 34 40432
62.39 51 26 30909
63.40 69 33 42591
64.41 67 35 42209
65.42 51 25 32697
66.43 69 34 45015
67.44 68 34 45232
68.45 50 26 31471
69.46 70 33 44129
70.47 68 34 44812
71.47 36 16 23988
72.48 50 26 31438
73.49 67 35 40289
74.50 68 34 41776
75.51 51 26 31845
76.52 68 34 43300
77.53 68 34 44176
78.54 51 26 33633
79.55 68 34 45034
80.56 85 43 48760
81.56 69 33 40228
82.57 84 43 49868
83.58 54 24 32508
84.59 68 34 40966
85.60 67 35 40887
86.61 69 33 45891
87.61 51 26 34221
88.62 66 36 42822
89.63 69 33 45531
90.63 50 26 33550
91.64 86 42 50083
92.64 67 35 38994
93.65 86 42 50822
94.65 68 34 40936
95.66 85 43 51940
96.67 68 34 41616
97.68 68 34 41616
98.69 71 32 43452
99.70 68 34 39976
100.70 67 35 42968
101.71 35 17 21865
102.72 51 25 30909
103.73 49 27 31010
104.74 51 26 32430
105.75 68 34 44206
106.76 51 26 33984
107.77 51 25 30666
108.78 69 34 41067
109.79 68 34 41344
110.80 68 34 42208
111.80 50 26 31642
112.81 69 34 44367
113.82 53 24 34723
114.83 68 34 44500
115.84 34 17 21566
116.85 68 34 41205
117.86 51 26 33508
118.87 49 27 32327
119.87 69 33 40623
120.88 67 35 40301
121.89 52 25 31796
122.90 68 34 42436
123.90 68 35 43300
124.91 51 25 32997
125.91 68 34 44788
126.92 68 34 45133
127.93 69 34 39468
128.94 70 33 42055
129.95 51 25 33597
130.96 67 35 41525
131.96 68 34 41128
132.97 52 25 32024
133.97 67 35 40493
134.98 50 8 30454
135.99 69 0 42723
136.99 68 0 42976
138.00 50 0 32206
139.01 69 0 45159
140.02 68 0 45376
141.03 68 0 40579
142.04 86 0 49802
143.05 68 0 40096
144.06 70 0 41810
145.07 66 0 41260
146.08 52 0 32615
147.08 69 0 43683
148.09 50 0 32038
149.10 67 0 43673
150.11 68 0 45184
151.12 68 0 42163
152.13 68 0 39156
153.13 86 0 50412
154.14 69 0 41128
155.15 84 0 50928
156.16 68 0 41616
157.17 86 0 52632
158.18 67 0 41004
159.18 53 0 32436
160.19 69 0 41068
161.20 51 0 32217
162.21 50 0 32014
163.22 51 0 32829
164.23 67 0 42077
165.24 68 0 43192
166.25 68 0 44080
167.26 51 0 33609
168.26 68 0 45556
169.27 86 0 49460
170.28 68 0 39576
171.29 85 0 50380
172.30 68 0 40936
173.30 68 0 41606
174.31 54 0 32748
175.32 68 0 39316
176.32 50 0 31819
177.33 69 0 43791
178.34 65 0 39307
179.35 52 0 30596
180.36 68 0 40852
181.37 68 0 41716
182.38 51 0 31785
183.38 68 0 43240
184.39 68 0 44116
185.40 52 0 34268
186.41 68 0 45406
187.42 85 0 48720
188.43 68 0 39596
189.43 85 0 50420
190.44 68 0 40946
191.45 68 0 41616
192.45 86 0 52632
193.46 68 0 41616
194.47 85 0 52020
195.48 68 0 41616
196.49 86 0 52632
197.50 67 0 41004
198.51 85 0 52020
199.51 42 0 25704
