# boot Thu 10 Sep 13:50:04 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
123.79 69 34 40948
124.80 77 39 46454
125.81 75 37 45900
126.82 76 39 46512
127.82 75 37 45900
128.83 68 31 41556
129.84 52 26 30204
130.85 66 33 43131
131.86 44 22 29212
132.87 66 33 41526
133.88 58 32 36674
134.89 64 32 41228
135.89 63 31 41337
136.90 63 32 42081
137.91 71 35 42196
138.91 76 39 44012
139.92 76 38 44762
140.92 76 37 45522
141.93 75 38 45660
142.94 75 37 45900
143.95 76 37 46512
144.96 58 28 34456
145.97 51 25 32145
146.98 61 32 38843
147.99 49 23 31103
149.00 56 31 35755
150.01 59 29 36496
151.02 63 32 37401
152.02 63 32 38145
153.03 62 31 38266
154.03 64 31 40268
155.04 63 32 40389
156.05 63 32 41133
157.05 63 31 41877
158.06 69 34 42834
159.07 69 32 39748
160.08 60 33 39281
161.09 60 27 36069
162.10 58 32 37142
163.11 58 26 37070
164.12 60 33 36252
165.13 62 31 37714
166.13 64 32 39692
167.14 62 31 39190
168.15 64 32 41204
169.16 63 32 41313
170.17 63 31 42057
171.18 72 36 43065
172.19 76 37 44002
173.20 76 39 44752
174.21 76 35 45512
175.21 60 30 35683
176.22 63 33 41265
177.23 63 31 41277
178.24 61 30 40679
179.25 72 38 43362
180.26 75 38 43390
181.27 76 38 44712
182.28 75 38 44860
183.29 76 38 46212
184.30 76 37 46512
185.30 74 38 45288
186.31 77 38 47124
187.32 75 37 45900
188.32 75 38 45900
189.33 76 38 46512
190.33 76 37 46512
191.34 74 38 45288
192.35 77 39 47124
193.36 76 37 46512
194.37 76 38 46512
195.38 74 37 45288
196.39 77 39 47124
197.40 75 37 45900
198.40 76 38 46512
199.41 75 38 45900
200.41 76 38 46512
201.42 74 37 45288
202.43 77 39 47124
203.44 76 37 46512
204.45 75 38 45900
205.46 75 37 45900
206.47 77 39 47124
207.48 75 37 45900
208.48 76 38 46512
209.49 75 37 45900
210.50 76 39 46512
211.51 76 38 46512
212.52 76 38 46512
213.53 75 37 45900
214.54 76 38 46512
215.55 76 38 46512
216.55 74 37 45288
217.56 76 38 46512
218.57 76 39 46512
219.57 75 37 45900
220.58 76 38 46512
221.59 76 38 46512
222.60 74 15 45288
223.61 77 0 47124
224.61 76 0 46512
225.62 74 0 45288
226.63 76 0 46512
227.64 77 0 47124
228.65 75 0 45900
229.66 75 0 45900
230.67 77 0 47124
231.68 76 0 46512
232.69 75 0 45900
233.70 75 0 45900
234.70 76 0 46512
235.71 76 0 46512
236.72 74 0 45288
237.72 77 0 47124
238.73 75 0 45900
239.74 75 0 45900
240.74 76 0 46512
241.75 76 0 46512
242.76 76 0 46512
243.77 75 0 45900
244.78 76 0 46512
245.79 76 0 46512
246.80 76 0 46512
247.81 75 0 45900
248.82 76 0 46512
249.82 74 0 45288
250.83 76 0 46512
251.83 76 0 46512
252.84 76 0 46512
253.85 75 0 45900
254.86 76 0 46512
255.87 76 0 46512
256.87 74 0 45288
257.88 76 0 46512
258.89 76 0 46512
259.89 74 0 45288
260.90 77 0 47124
261.91 76 0 46512
262.92 76 0 46512
263.93 74 0 45288
264.94 77 0 47124
265.95 76 0 46512
266.95 74 0 45288
267.96 77 0 47124
268.97 76 0 46512
269.98 74 0 45288
270.99 76 0 46512
272.00 77 0 47124
273.01 75 0 45900
274.02 75 0 45900
275.02 76 0 46512
276.03 76 0 46512
277.03 74 0 45288
278.04 77 0 47124
279.05 75 0 45900
280.06 76 0 46512
281.07 75 0 45900
282.08 77 0 47124
283.09 75 0 45900
284.10 76 0 46512
285.10 75 0 45900
286.11 76 0 46512
287.12 76 0 46512
288.13 74 0 45288
289.14 77 0 47124
290.14 75 0 45900
291.15 75 0 45900
292.16 76 0 46512
293.16 76 0 46512
294.17 74 0 45288
295.18 77 0 47124
296.19 75 0 45900
297.19 75 0 45900
298.20 76 0 46512
299.20 76 0 46512
300.21 74 0 45288
301.22 77 0 47124
302.23 76 0 46512
303.24 42 0 25704
